CRITIC_RATING,region_sales_dim,DEVELOPER_ID (Custom SQL Query4),DEVELOPER_ID,DEVELOPER_NAME,EUROPE_SALES,FACT_ID,GAME_ID (Custom SQL Query2),GAME_ID,GAME_NAME,GENRE_ID (Custom SQL Query3),GENRE_ID,GENRE_NAME,GLOBAL_SALES,JAPAN_SALES,N_AMERICA_SALES,Number of Records,OTHER_SALES,PLATFORM_ID (Custom SQL Query5),PLATFORM_ID,PLATFORM_NAME,PUBLISHER_ID (Custom SQL Query6),PUBLISHER_ID,PUBLISHER_NAME,USER_COUNT,USER_RATING,YEAR_ID (Custom SQL Query1),YEAR_ID,YEAR_OF_RELEASE
,3,,,,0.35,404,4867,4867,Avatar: The Game,6,6,Action,0.77,0,0.34,1,0.08,37,37,X360,415,415,Ubisoft,,,2,2,2009
,3,,,,0.18,405,4867,4867,Avatar: The Game,6,6,Action,0.4,0,0.18,1,0.04,45,45,DS,415,415,Ubisoft,,,2,2,2009
,3,,,,0.42,406,4867,4867,Avatar: The Game,6,6,Action,0.9,0,0.32,1,0.16,57,57,PS3,415,415,Ubisoft,,,2,2,2009
,3,,,,0,407,5123,5123,Practise English!,11,11,Misc,0.73,0.73,0,1,0,45,45,DS,351,351,Nintendo,,,19,19,2007
60,3,1263,1263,Ubisoft,0.11,408,5379,5379,Star Wars Trilogy: Apprentice of the Force,6,6,Action,0.42,0,0.3,1,0.01,44,44,GBA,415,415,Ubisoft,0,21,27,27,2004
27,3,821,821,SingleTrac,0.02,409,5635,5635,Animorphs: Shattered Reality,6,6,Action,0.06,0,0.03,1,0,34,34,PS,267,267,Infogrames,0,4,21,21,2000
68,3,1574,1574,Marvelous Entertainment,0.05,410,5891,5891,Harvest Moon: The Tale of Two Towns,13,13,Simulation,0.55,0.22,0.25,1,0.03,45,45,DS,424,424,Natsume,7.5,6,4,4,2010
,3,,,,0,411,5891,5891,Harvest Moon: The Tale of Two Towns,13,13,Simulation,0.3,0,0.28,1,0.02,61,61,3DS,350,350,Unknown,,,2,2,2009
55,3,1047,1047,Sega,0.15,412,6147,6147,Super Monkey Ball 3D,6,6,Action,0.49,0.05,0.26,1,0.04,61,61,3DS,352,352,Sega,5.5,57,20,20,2011
,3,1168,1168,EM Studios,0,413,6403,6403,Dodge Racing: Charger vs Challenger,2,2,Racing,0.12,0,0.11,1,0.01,33,33,Wii,539,539,Zushi Games,0,,2,2,2009
,3,1168,1168,EM Studios,0,414,6403,6403,Dodge Racing: Charger vs Challenger,2,2,Racing,0.03,0,0.03,1,0,45,45,DS,539,539,Zushi Games,0,,2,2,2009
,3,,,,0,415,6659,6659,Backyard NFL Football,10,10,Sports,0.03,0,0.02,1,0,33,33,Wii,262,262,Atari,,,19,19,2007
,3,,,,0,416,6659,6659,Backyard NFL Football,10,10,Sports,0.02,0,0.02,1,0,45,45,DS,262,262,Atari,,,19,19,2007
,3,,,,0.15,417,6659,6659,Backyard NFL Football,10,10,Sports,0.56,0,0.4,1,0.01,44,44,GBA,267,267,Infogrames,,,37,37,2002
,3,,,,0.05,418,6659,6659,Backyard NFL Football,10,10,Sports,0.26,0,0.2,1,0.01,60,60,GC,267,267,Infogrames,,,37,37,2002
48,3,,,,0.06,419,6915,6915,AMF Bowling 2004,10,10,Sports,0.3,0,0.22,1,0.01,47,47,XB,174,174,Mud Duck Productions,4.4,6,29,29,2003
,3,,,,0.27,420,7171,7171,NCAA Football 98,10,10,Sports,0.7,0,0.39,1,0.05,34,34,PS,349,349,Electronic Arts,,,5,5,1997
76,3,422,422,Headstrong Games,0.12,421,7427,7427,Pokemon Art Academy ,11,11,Misc,0.49,0.16,0.18,1,0.03,61,61,3DS,351,351,Nintendo,7.7,22,8,8,2014
,3,1099,1099,h.a.n.d. Inc.,0,422,7683,7683,Active Life Explorer,10,10,Sports,0.14,0,0.13,1,0.01,33,33,Wii,497,497,Namco Bandai Games,0,,4,4,2010
,3,1391,1391,Deep Fried Entertainment,0,423,7939,7939,MLB Superstars,10,10,Sports,0.09,0,0.08,1,0.01,33,33,Wii,496,496,Take-Two Interactive,0,,38,38,2008
63,3,844,844,Digital Eclipse,0,424,8198,8198,Midway Arcade Treasures: Extended Play,11,11,Misc,0.24,0,0.21,1,0.02,35,35,PSP,264,264,Midway Games,7.8,24,3,3,2005
,3,,,,0.15,425,8710,8710,Mega Man 2,6,6,Action,1.51,0.42,0.93,1,0.01,54,54,NES,353,353,Capcom,,,25,25,1988
,3,,,,0,426,9222,9222,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,12,12,Strategy,0.07,0.07,0,1,0,35,35,PSP,497,497,Namco Bandai Games,,,2,2,2009
,3,,,,0,427,9222,9222,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,12,12,Strategy,0.07,0.07,0,1,0,55,55,PS2,497,497,Namco Bandai Games,,,2,2,2009
63,3,202,202,Ubisoft Montreal,0.01,428,9734,9734,Batman: Rise of Sin Tzu,6,6,Action,0.06,0,0.05,1,0,60,60,GC,415,415,Ubisoft,0,17,29,29,2003
67,3,202,202,Ubisoft Montreal,0.02,429,9734,9734,Batman: Rise of Sin Tzu,6,6,Action,0.11,0,0.08,1,0,47,47,XB,415,415,Ubisoft,7.7,17,29,29,2003
63,3,202,202,Ubisoft Montreal,0.13,430,9734,9734,Batman: Rise of Sin Tzu,6,6,Action,0.35,0,0.17,1,0.05,55,55,PS2,415,415,Ubisoft,8.3,21,29,29,2003
63,3,1263,1263,Ubisoft,0.02,431,9734,9734,Batman: Rise of Sin Tzu,6,6,Action,0.07,0,0.05,1,0,44,44,GBA,415,415,Ubisoft,6.8,12,29,29,2003
,3,,,,0,432,10246,10246,Higurashi no Naku Koro ni Iki,6,6,Action,0.03,0.03,0,1,0,49,49,PSV,430,430,Kaga Create,,,28,28,2015
,3,,,,0,433,10246,10246,Higurashi no Naku Koro ni Iki,6,6,Action,0.01,0.01,0,1,0,57,57,PS3,430,430,Kaga Create,,,28,28,2015
,3,,,,0,434,10758,10758,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui,12,12,Strategy,0.16,0.16,0,1,0,35,35,PSP,497,497,Namco Bandai Games,,,38,38,2008
,3,,,,0.01,435,11270,11270,Doom II: Hell on Earth,8,8,Shooter,0.04,0,0.03,1,0,44,44,GBA,2,2,Activision,,,37,37,2002
,3,,,,1.4,436,11270,11270,Doom II: Hell on Earth,8,8,Shooter,3.61,0,2.05,1,0.16,56,56,PC,178,178,Virgin Interactive,,,35,35,1994
82,3,586,586,Ion Storm,0.04,437,1025,1025,Thief: Deadly Shadows,6,6,Action,0.17,0,0.13,1,0.01,47,47,XB,263,263,Eidos Interactive,7.3,61,27,27,2004
56,3,905,905,Climax Group,0.01,438,1089,1089,The Italian Job,2,2,Racing,0.03,0,0.03,1,0,60,60,GC,263,263,Eidos Interactive,0,10,29,29,2003
54,3,905,905,Climax Group,0.02,439,1089,1089,The Italian Job,2,2,Racing,0.08,0,0.06,1,0,47,47,XB,263,263,Eidos Interactive,5.8,22,29,29,2003
55,3,905,905,Climax Group,0.09,440,1089,1089,The Italian Job,2,2,Racing,0.23,0,0.11,1,0.03,55,55,PS2,263,263,Eidos Interactive,6.3,18,29,29,2003
,3,,,,0,441,1153,1153,Dragon Quest Monsters 1Â·2,14,14,Role-Playi,0.32,0.3,0,1,0.02,34,34,PS,43,43,Enix Corporation,,,37,37,2002
,3,,,,0,442,1217,1217,KuruKuru Kururin,9,9,Puzzle,0.31,0.3,0,1,0.01,44,44,GBA,351,351,Nintendo,,,11,11,2001
